S0,sigma,T,option_price,compute_time_seconds
80.0,0.15,0.5,0.11136454130066517,60.94802498817444
80.0,0.15,0.6666666666666666,0.283084733234433,60.94802498817444
80.0,0.15,0.8333333333333333,0.5140590235078888,60.94802498817444
80.0,0.15,1.0,0.8046351091270034,60.94802498817444
80.0,0.15,1.1666666666666665,1.1326115311512284,60.94802498817444
80.0,0.15,1.3333333333333333,1.4904024151572224,60.94802498817444
80.0,0.15,1.5,1.8825369945770547,60.94802498817444
80.0,0.15,1.6666666666666665,2.2831019284499265,60.94802498817444
80.0,0.15,1.8333333333333333,2.7016351613970446,60.94802498817444
80.0,0.15,2.0,3.121745312843215,60.94802498817444
80.0,0.18333333333333335,0.5,0.31439986809977327,60.94802498817444
80.0,0.18333333333333335,0.6666666666666666,0.6373075220703254,60.94802498817444
80.0,0.18333333333333335,0.8333333333333333,1.038213455563511,60.94802498817444
80.0,0.18333333333333335,1.0,1.4807466716888404,60.94802498817444
80.0,0.18333333333333335,1.1666666666666665,1.9439969639944805,60.94802498817444
80.0,0.18333333333333335,1.3333333333333333,2.448944543166387,60.94802498817444
80.0,0.18333333333333335,1.5,2.9475364369508195,60.94802498817444
80.0,0.18333333333333335,1.6666666666666665,3.463786987760045,60.94802498817444
80.0,0.18333333333333335,1.8333333333333333,3.99677115896095,60.94802498817444
80.0,0.18333333333333335,2.0,4.5079470812216424,60.94802498817444
80.0,0.21666666666666667,0.5,0.6236256195863272,60.94802498817444
80.0,0.21666666666666667,0.6666666666666666,1.127142044177404,60.94802498817444
80.0,0.21666666666666667,0.8333333333333333,1.6820632796831583,60.94802498817444
80.0,0.21666666666666667,1.0,2.262285730967921,60.94802498817444
80.0,0.21666666666666667,1.1666666666666665,2.882756860235016,60.94802498817444
80.0,0.21666666666666667,1.3333333333333333,3.488648775670623,60.94802498817444
80.0,0.21666666666666667,1.5,4.105998685331507,60.94802498817444
80.0,0.21666666666666667,1.6666666666666665,4.730880223322642,60.94802498817444
80.0,0.21666666666666667,1.8333333333333333,5.348391427879813,60.94802498817444
80.0,0.21666666666666667,2.0,5.973120482205398,60.94802498817444
80.0,0.25,0.5,1.024113987290297,60.94802498817444
80.0,0.25,0.6666666666666666,1.6929074705457674,60.94802498817444
80.0,0.25,0.8333333333333333,2.410063554968521,60.94802498817444
80.0,0.25,1.0,3.134842356778411,60.94802498817444
80.0,0.25,1.1666666666666665,3.864689573032979,60.94802498817444
80.0,0.25,1.3333333333333333,4.5797262376935475,60.94802498817444
80.0,0.25,1.5,5.327173294836707,60.94802498817444
80.0,0.25,1.6666666666666665,6.024024185031512,60.94802498817444
80.0,0.25,1.8333333333333333,6.749746391211704,60.94802498817444
80.0,0.25,2.0,7.427140416635139,60.94802498817444
80.0,0.2833333333333333,0.5,1.4957658423448144,60.94802498817444
80.0,0.2833333333333333,0.6666666666666666,2.3463836606425565,60.94802498817444
80.0,0.2833333333333333,0.8333333333333333,3.204615362384308,60.94802498817444
80.0,0.2833333333333333,1.0,4.0784905346247236,60.94802498817444
80.0,0.2833333333333333,1.1666666666666665,4.907551647194609,60.94802498817444
80.0,0.2833333333333333,1.3333333333333333,5.767155550224957,60.94802498817444
80.0,0.2833333333333333,1.5,6.5796681881175845,60.94802498817444
80.0,0.2833333333333333,1.6666666666666665,7.346107659593123,60.94802498817444
80.0,0.2833333333333333,1.8333333333333333,8.15537715749956,60.94802498817444
80.0,0.2833333333333333,2.0,8.9020471981432,60.94802498817444
80.0,0.31666666666666665,0.5,2.0259311164093727,60.94802498817444
80.0,0.31666666666666665,0.6666666666666666,3.049730807313362,60.94802498817444
80.0,0.31666666666666665,0.8333333333333333,4.050646061294204,60.94802498817444
80.0,0.31666666666666665,1.0,5.005475410228884,60.94802498817444
80.0,0.31666666666666665,1.1666666666666665,6.00838793009117,60.94802498817444
80.0,0.31666666666666665,1.3333333333333333,6.911879844362355,60.94802498817444
80.0,0.31666666666666665,1.5,7.822384820223463,60.94802498817444
80.0,0.31666666666666665,1.6666666666666665,8.719953748330221,60.94802498817444
80.0,0.31666666666666665,1.8333333333333333,9.580488095177577,60.94802498817444
80.0,0.31666666666666665,2.0,10.444621265325253,60.94802498817444
80.0,0.35000000000000003,0.5,2.6016256841671934,60.94802498817444
80.0,0.35000000000000003,0.6666666666666666,3.7969673040506464,60.94802498817444
80.0,0.35000000000000003,0.8333333333333333,4.938855316039883,60.94802498817444
80.0,0.35000000000000003,1.0,6.020809532398199,60.94802498817444
80.0,0.35000000000000003,1.1666666666666665,7.104082662842065,60.94802498817444
80.0,0.35000000000000003,1.3333333333333333,8.104700898070847,60.94802498817444
80.0,0.35000000000000003,1.5,9.097331697620884,60.94802498817444
80.0,0.35000000000000003,1.6666666666666665,10.11032070640789,60.94802498817444
80.0,0.35000000000000003,1.8333333333333333,10.96375127471595,60.94802498817444
80.0,0.35000000000000003,2.0,11.932941754271475,60.94802498817444
80.0,0.3833333333333334,0.5,3.238367801172208,60.94802498817444
80.0,0.3833333333333334,0.6666666666666666,4.572733778338551,60.94802498817444
80.0,0.3833333333333334,0.8333333333333333,5.846795139972188,60.94802498817444
80.0,0.3833333333333334,1.0,7.074728629284892,60.94802498817444
80.0,0.3833333333333334,1.1666666666666665,8.21058417363623,60.94802498817444
80.0,0.3833333333333334,1.3333333333333333,9.362762436579628,60.94802498817444
80.0,0.3833333333333334,1.5,10.406779140143282,60.94802498817444
80.0,0.3833333333333334,1.6666666666666665,11.449694997973452,60.94802498817444
80.0,0.3833333333333334,1.8333333333333333,12.502940072477214,60.94802498817444
80.0,0.3833333333333334,2.0,13.411285593223658,60.94802498817444
